keys,zh,en,ja
game_title,失 窃 的 信,The Purloined Letter,盗まれた手紙
btn_new_game,开始新游戏,New Game,はじめから
btn_continue,继续游戏,Continue,つづきから
btn_settings,系统设置,Settings,設定
btn_credits,制作团队,Credits,制作团队
btn_quit,结束游戏,Quit,終了
settings_title,游戏设置,Settings,設定
btn_reset,恢复默认,Reset Defaults,初期値に戻す
btn_close,关闭,Close,閉じる
btn_return,返回主界面,Return to Title,タイトルへ戻る
confirm_reset,确定要将当前类别恢复为默认设置吗？,Reset all settings in this category to defaults?,このカテゴリの設定をすべて初期値に戻しますか？
save_title,存档管理,Save Management,セーブ管理
save_empty,空存档,Empty,空き
save_auto,自动保存,Auto Save,オートセーブ
save_btn,保存,Save,セーブ
load_btn,读取,Load,ロード
delete_btn,删除,Delete,削除
save_unknown_time,未知时间,Unknown,不明
save_slot_name,存档%02d,Save %02d,セーブ %02d
backlog_title,对话回顾,Backlog,会話履歴
btn_save_load,存读档,Save/Load,セーブ/ロード
btn_auto_play,自动播放,Auto Play,自動再生
btn_stop_play,停止播放,Stop,停止
btn_achievement,成就,Achievements,実績
btn_review,回顾,Backlog,会話履歴
btn_dialogue_settings,设置,Settings,設定
btn_return_title,返回,Return,戻る
cat_audio,音频,Audio,音声
cat_text,文本播放,Text,テキスト
cat_display,画面,Display,画面
opt_master_volume,主音量,Master Volume,マスターボリューム
opt_music_volume,音乐音量,Music Volume,音楽音量
opt_sfx_volume,音效音量,SFX Volume,効果音量
opt_text_speed,文字速度,Text Speed,テキスト速度
opt_auto_delay,自动等待,Auto Delay,自動待機
opt_auto_mode,自动模式,Auto Mode,自動モード
opt_fullscreen,全屏,Fullscreen,フルスクリーン
opt_language,语言,Language,言語
tooltip_master_volume,调节游戏的整体音量,Adjust overall game volume,ゲーム全体の音量を調整
